Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,Year,Spotify Streams (Millions)
all of me,american dream,21 Savage,2024-01-12,"1,283",41.6,87111207.0,20380.0,29657028.0,,2024,87.111207
Yaad Piya Ki Aane Lagi,Yaad Piya Ki Aane Lagi,Neha Kakkar,2019-11-16,"1,976",32.4,86910140.0,8749.0,2989865.0,56.0,2019,86.91014
Buga,Buga,Kizz Daniel,2022-05-03,208,105.8,86516910.0,30835.0,3440925.0,57.0,2022,86.51691
Fight The Feeling,Fight The Feeling,Rod Wave,2023-03-31,"1,128",44.8,86327319.0,18112.0,2247123.0,51.0,2023,86.327319
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,2020-03-26,930,50.0,86295058.0,7591.0,3058131.0,55.0,2020,86.295058
Bad idea,Missing,Kurochuu,2024-06-09,387,77.6,86203995.0,2.0,2190.0,1.0,2024,86.203995
BAND4BAND,BAND4BAND (Official Video),Central Cee,2024-06-06,874,51.6,86144467.0,1.0,24.0,,2024,86.144467
Cough,Cough,Kizz Daniel,2022-10-13,655,59.3,86103527.0,24888.0,4522560.0,62.0,2022,86.103527
Ta Ta Ta,Bayanni,Bayanni,2022-08-24,586,62.8,85207310.0,31737.0,2778661.0,62.0,2022,85.20731
In The End,In the End,Tommee Profitt,2018-04-06,771,55.2,85068645.0,23747.0,2345029.0,52.0,2018,85.068645
ıııııı,ıııııı,YOASOBI,2023-09-29,"1,643",36.1,84848838.0,10799.0,2566936.0,71.0,2023,84.848838
Lonely At The Top,Work Of Art,Asake,2023-06-15,947,49.4,84655991.0,13107.0,7678884.0,69.0,2023,84.655991
Lï¿½ï¿½ï¿½AMOUR DE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,352,81.6,84575291.0,5186.0,51449432.0,85.0,2024,84.575291
Le Monde,Talk to Me (Original Soundtrack),Richard Carter,2023-08-04,"1,568",37.0,84141101.0,23465.0,5042229.0,62.0,2023,84.141101
King Shit,Leo,Shubh,2024-01-05,"1,455",38.4,84030576.0,4988.0,9741006.0,71.0,2024,84.030576
Push Up - Original Mix,Push Up - Single,Creeds,2022-12-21,"1,409",39.4,83801298.0,78156.0,5245976.0,58.0,2022,83.801298
El Boss,El Boss,Gabito Ballesteros,2024-03-28,"1,746",34.9,81942319.0,3580.0,30332860.0,84.0,2024,81.942319
Meridian,Meridian,Dave,2023-08-24,"1,921",33.0,81911061.0,28740.0,4403115.0,3.0,2023,81.911061
la noia,La noia,Angelina Mango,2024-02-07,"1,853",33.7,81694468.0,4777.0,7822812.0,80.0,2024,81.694468
Piscina,Piscina,Maria Becerra,2023-11-08,"1,532",37.5,81319633.0,7972.0,12644546.0,6.0,2023,81.319633
Lan,Lan - Single,Zeynep Bastï¿½,2024-03-08,362,80.3,81246715.0,4073.0,6852706.0,72.0,2024,81.246715
Filhall 2,Filhall 2,B Praak,2020-06-19,"1,721",35.2,81182241.0,2.0,18.0,,2020,81.182241
Turks & Caicos (feat. 21 Savage),Nostalgia,Rod Wave,2023-09-15,"1,420",39.1,79871904.0,18919.0,14210017.0,,2023,79.871904
LA RANGER (feat. Myke Towers),The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,2024-03-28,920,50.4,79786203.0,8939.0,75931694.0,76.0,2024,79.786203
I LUV IT (feat. Playboi Carti),I LUV IT (feat. Playboi Carti),Camila Cabello,2024-03-27,"1,428",38.9,78537688.0,7391.0,23509446.0,,2024,78.537688
Fall Back,Fall Back / Selfish Game - Single,Lithe,2024-03-21,485,70.1,78227549.0,10811.0,34967691.0,81.0,2024,78.227549
Alibi (feat. Rudimental),Alibi (feat. Rudimental) - Single,Ella Henderson,2024-01-12,"1,426",39.0,78096380.0,7999.0,76558923.0,,2024,78.09638
SPOT!,SPOT!,ZICO,2024-04-26,153,122.8,77757035.0,3407.0,35428519.0,81.0,2024,77.757035
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,390,77.3,77212437.0,4083.0,13850203.0,84.0,2024,77.212437
You & Me - Rivo Remix,You & Me (Rivo Remix),Disclosure,2023-12-22,"1,995",32.3,76959761.0,18706.0,48962409.0,76.0,2023,76.959761
II MOST WANTED,COWBOY CARTER,Beyoncï¿,2024-03-27,"1,022",47.5,76870736.0,5252.0,32501444.0,,2024,76.870736
Libaas,Libaas,Kaka,2020-11-19,"1,889",33.4,76630812.0,8933.0,1073356.0,51.0,2020,76.630812
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,2024-04-01,832,53.2,75894056.0,2524.0,11857367.0,84.0,2024,75.894056
Guli Mata,Guli Mata,Saad Lamjarred,2023-07-12,734,56.6,75152048.0,8540.0,685520.0,62.0,2023,75.152048
THE GREATEST,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,606,61.5,74533081.0,4192.0,13299713.0,84.0,2024,74.533081
Se Acabï¿½ï¿½ la Cuaren,Viva el Perreo,Jowell & Randy,2020-08-06,915,50.5,73468394.0,23284.0,4240574.0,51.0,2020,73.468394
Cry,Fireworks & Rollerblades,Benson Boone,2024-04-05,"1,589",36.7,72952792.0,5724.0,21375874.0,18.0,2024,72.952792
"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,2019-02-12,"1,149",44.3,72849488.0,9804.0,2252266.0,54.0,2019,72.849488
Love Lee,Love Lee,AKMU,2023-08-21,"1,294",41.4,72468277.0,10736.0,4247248.0,65.0,2023,72.468277
Family Matters,Family Matters,Drake,2024-05-03,154,122.7,72335127.0,8696.0,36774031.0,86.0,2024,72.335127
Diz Aï¿½ï¿½ Qual ï¿½ï¿½,Diz Aï¿½ï¿½ Qual ï¿½ï¿½,Mc IG,2024-03-07,842,52.9,71944011.0,5329.0,22615957.0,67.0,2024,71.944011
DNA (Loving You) [feat. Hannah Boleyn],DNA (Loving You) [feat. Hannah Boleyn] - Single,Billy Gillies,2023-07-28,"1,792",34.4,71722674.0,15522.0,22597896.0,68.0,2023,71.722674
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2024-02-29,"1,244",42.4,71586678.0,6088.0,12104937.0,73.0,2024,71.586678
Turn Yo Clic Up (feat. Future),Turn Yo Clic Up (feat. Future),Quavo,2023-07-14,"1,593",36.7,70868414.0,32989.0,17684550.0,57.0,2023,70.868414
Sensational (feat. Davido & Lojay),Sensational (feat. Davido & Lojay) - Single,Chris Brown,2023-10-20,527,66.9,70652012.0,20841.0,15882127.0,,2023,70.652012
Bartolito,20 GRANDES ï¿½ï¿½X,Duo Tiempo de Sol,2015-10-05,"1,082",46.0,70061366.0,6847.0,1133511.0,62.0,2015,70.061366
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,2022-10-06,260,96.2,69931412.0,13220.0,8876286.0,61.0,2022,69.931412
Supernova,Supernova,aespa,2024-05-13,63,186.1,69729033.0,2483.0,21046278.0,81.0,2024,69.729033
Young Metro,WE DON'T TRUST YOU,Future,2024-03-22,612,61.3,69705399.0,13782.0,24255616.0,,2024,69.705399
Kehribar,Kehribar - Single,Burak Bulut,2023-09-29,"1,761",34.7,68985345.0,7062.0,5463250.0,67.0,2023,68.985345
We Don't Trust You,WE DON'T TRUST YOU,Future,2024-03-22,600,61.7,68542565.0,13345.0,6655318.0,,2024,68.542565
Bad Feeling (Oompa Loompa),Bad Feeling (Oompa Loompa),Jagwar Twin,2023-12-15,"1,653",36.0,68270779.0,10126.0,4470536.0,,2023,68.270779
Pump,Pump,Valentino Khan,2017-05-26,"1,873",33.6,67890975.0,26030.0,3848842.0,42.0,2017,67.890975
Macetando,Macetando,Ivete Sangalo,2023-12-15,"1,575",36.9,67224922.0,4356.0,8794359.0,,2023,67.224922
Now And Then,Now And Then,The Beatles,2023-11-02,"1,235",42.6,66843778.0,23455.0,13808666.0,,2023,66.843778
Wanna Be,Wanna Be (Alternate Versions),GloRilla,2024-04-03,433,74.1,66836198.0,4228.0,57383746.0,77.0,2024,66.836198
Great Gatsby,Nostalgia,Rod Wave,2023-09-15,982,48.7,66813186.0,11024.0,4487030.0,,2023,66.813186
Try That In A Small Town,Try That In A Small Town,Jason Aldean,2023-05-19,793,54.5,66418201.0,20547.0,1758957.0,37.0,2023,66.418201
Fotos Y Recuerdos (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,"1,622",36.4,66283950.0,13.0,74994.0,,2024,66.28395
VVV,VVV,mikeeysmind,2023-10-21,"1,782",34.5,66104800.0,18865.0,2295894.0,,2023,66.1048
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,790,54.7,66101468.0,3693.0,9878576.0,84.0,2024,66.101468
"Naina (From ""Crew"")","Naina (From ""Crew"") - Single",Diljit Dosanjh,2024-03-05,"1,049",46.8,65661355.0,2351.0,12360484.0,76.0,2024,65.661355
meet the grahams,meet the grahams,Kendrick Lamar,2024-05-03,201,107.3,65520394.0,8933.0,15896982.0,,2024,65.520394
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu,2023-10-17,575,63.4,64754747.0,15452.0,1964606.0,,2023,64.754747
We Still Don't Trust You,WE STILL DON'T TRUST YOU,Future,2024-04-12,823,53.4,64193671.0,9077.0,15569468.0,,2024,64.193671
SC-9,SC-9,Yahir Saldivar,2024-02-01,"1,415",39.3,63296147.0,2994.0,12621491.0,64.0,2024,63.296147
Addicted,Addicted (feat. Ink) - Single,Zerb,2024-03-29,"1,170",43.9,63142772.0,7213.0,65806267.0,79.0,2024,63.142772
Un Desperdicio,Un Desperdicio,Rels B,2024-04-25,"1,750",34.9,62552825.0,3045.0,44211129.0,78.0,2024,62.552825
Ameno Amapiano Remix (You Wanna Bamba),Ameno Amapiano Remix - Single,Goya Menor,2022-01-07,"1,759",34.8,62243984.0,26772.0,2001961.0,51.0,2022,62.243984
RAM TCHUM,RAM TCHUM,DENNIS,2024-02-29,"1,648",36.0,62158125.0,3309.0,21702281.0,74.0,2024,62.158125
ONE MORE TIME,ONE MORE TIME / MORE THAN YOU KNOW,blink-182,2023-09-21,"1,011",47.7,62097485.0,16027.0,7986146.0,,2023,62.097485
"Katchi Sera - From ""Think Indie""","Katchi Sera (From ""Think Indie"")",Sai Abhyankkar,2024-01-22,"1,099",45.7,61447714.0,2592.0,5382316.0,,2024,61.447714
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,2020-04-24,104,150.5,61382407.0,7240.0,1708319.0,43.0,2020,61.382407
Love wins all,Love wins all,IU,2024-01-24,"1,100",45.6,60903416.0,4743.0,2755053.0,,2024,60.903416
Pink Skies,Pink Skies,Zach Bryan,2024-05-24,309,86.7,60240739.0,4611.0,98570633.0,84.0,2024,60.240739
Titliaan,Titliaan,Afsana Khan,2020-11-09,"1,820",34.1,60103893.0,7617.0,1238881.0,54.0,2020,60.103893
Put It On Da Floor Again (feat. Cardi B),Put It On Da Floor Again (feat. Cardi B) - Single,Latto,2023-06-02,"1,572",37.0,60082145.0,11423.0,20395049.0,60.0,2023,60.082145
Brickell,MANIFESTING 20-05,Feid,2024-04-10,"1,150",44.2,59546208.0,5064.0,62237863.0,79.0,2024,59.546208
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,46,205.7,59314441.0,2572.0,183043096.0,83.0,2024,59.314441
BITTERSUITE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,"1,066",46.4,58810212.0,3394.0,9510078.0,87.0,2024,58.810212
Crazy Form,THE WORLD EP.FIN : WILL,ATEEZ,2023-12-01,"1,765",34.7,58520078.0,5454.0,5075458.0,,2023,58.520078
one of wun,One of Wun,Gunna,2024-05-10,831,53.2,58469975.0,7073.0,108431155.0,82.0,2024,58.469975
"Rowdy Baby (From ""Maari 2"")",U1 For Life,Dhanush,2020-08-26,"1,057",46.8,58283353.0,12.0,2710.0,,2020,58.283353
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,277,93.0,58157068.0,30.0,171325.0,,2024,58.157068
These Words,These Words,Badger,2024-04-05,"1,360",40.2,57562320.0,9301.0,84272492.0,78.0,2024,57.56232
Prada Dem (feat. Offset),Prada Dem (feat. Offset),Gunna,2024-03-15,669,58.9,57374288.0,10723.0,43670163.0,,2024,57.374288
Basit Numaralar,Basit Numaralar,Zerrin ï¿½ï¿,2023-08-04,"1,299",41.3,57370965.0,7149.0,2238082.0,58.0,2023,57.370965
ALL MY FELLAS,ALL MY FELLAS,Frizk,2023-09-19,"1,070",46.4,56978899.0,19534.0,2505224.0,,2023,56.978899
"Abrarï¿½ï¿½ï¿½s Entry | Jamal Kudu ""ANIMAL"")","Abrarï¿½ï¿½ï¿½s Entry | Jamal Kudu ""ANIMAL"")",Harshavardhan Rameshwar,2023-12-06,704,57.7,56885072.0,4639.0,1510883.0,,2023,56.885072
It's Not Right But It's Okay,It's Not Right (But It's Ok),Mr. Belt & Wezol,2024-02-23,"1,841",33.9,56343820.0,9047.0,82301244.0,78.0,2024,56.34382
BADGYAL,SAKURA,SAIKO,2024-04-26,"1,076",46.1,56282981.0,5849.0,51387051.0,80.0,2024,56.282981
Renklensin,Renklensin - Single,Reynmen,2024-04-19,384,77.8,54940563.0,2630.0,6589111.0,75.0,2024,54.940563
Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Os Quebradeiras,2022-11-11,830,53.3,54513960.0,13089.0,4241209.0,52.0,2022,54.51396
Tal Para Cual,Tal Para Cual,Salastkbron,2024-01-11,"1,867",33.6,54141672.0,5115.0,10033097.0,70.0,2024,54.141672
Steven Universe,Steven Universe,L.Dre,2020-02-21,"1,245",42.4,54104852.0,14464.0,2212197.0,50.0,2020,54.104852
Good Good,Good Good,USHER,2023-08-04,326,84.7,53825007.0,14742.0,9204769.0,59.0,2023,53.825007
Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R,Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,Major Lazer,2015-09-04,"1,030",47.4,53822187.0,2081.0,465455.0,,2015,53.822187
ıııııııııı ıııııııııııı,ıııııııııı ıııııııııııı,ALEX&RUS,2019-07-03,460,71.9,52830200.0,14893.0,1344212.0,41.0,2019,52.8302
ICU,ICU,Coco Jones,2022-10-21,"1,881",33.5,52106559.0,13612.0,2835147.0,61.0,2022,52.106559
Head Down,All Stand Together,Lost Frequencies,2023-11-10,"1,698",35.5,51812189.0,8222.0,25527895.0,,2023,51.812189
300 Noches,300 Noches,Belinda,2024-04-25,"1,937",32.9,51637997.0,2090.0,37145336.0,78.0,2024,51.637997
THE BOX MEDLEY FUNK 2,THE BOX MEDLEY FUNK 2,THE BOX,2024-04-18,450,72.8,51390127.0,3010.0,33303786.0,78.0,2024,51.390127
Eyes Closed,Eyes Closed,Imagine Dragons,2024-04-03,431,74.2,51224852.0,5159.0,33795310.0,,2024,51.224852
MTG QUEM Nï¿½ï¿½O QUER SO,MTG QUEM Nï¿½ï¿½O QUER SOU EU - Si,DJ TOPO,2024-05-10,315,86.1,51198446.0,3022.0,40425173.0,80.0,2024,51.198446
Una Vida Pasada,Una Vida Pasada,Camilo,2024-04-02,"1,249",42.4,50955386.0,2952.0,47126163.0,81.0,2024,50.955386
"Saami Saami (From ""Pushpa The Rise Part - 01"")","Saami Saami (From ""Pushpa The Rise Part - 01"")",Sunidhi Chauhan,2021-12-13,"1,957",32.6,50831625.0,3101.0,1472504.0,49.0,2021,50.831625
Midas Touch,Midas Touch,KISS OF LIFE,2024-04-03,"1,512",37.8,50824333.0,2846.0,15707891.0,75.0,2024,50.824333
30 GRADOS,30 Grados,El Turko,2024-01-26,"1,662",35.8,50652672.0,5098.0,8000291.0,72.0,2024,50.652672
30 GRADOS RKT,30 GRADOS RKT,RUNE,2024-06-08,"1,422",39.1,50652672.0,2.0,1670163.0,,2024,50.652672
No Me Conoce,No Me Conoce,Jhay Cortez,2019-02-22,896,51.0,49585127.0,9710.0,1428548.0,47.0,2019,49.585127
52 Gaj Ka Daman,52 Gaj Ka Daman,Renuka Panwar,2020-10-02,719,57.1,48929060.0,4295.0,619647.0,52.0,2020,48.92906
Million Dollar Baby (Vhs),Million Dollar Baby - Single,Tommy Richman,2024-04-26,445,73.1,48720820.0,5049.0,856394.0,2.0,2024,48.72082
Commas,Commas,Ayra Starr,2024-02-01,"1,689",35.5,48408512.0,6447.0,15113118.0,76.0,2024,48.408512
WORTH IT (feat. Don Toliver),WORTH IT (feat. Don Toliver),Offset,2023-10-12,"1,050",46.8,48339964.0,24760.0,10056008.0,,2023,48.339964
Wunder,Wunder,AYLIVA,2024-04-26,"1,336",40.7,47364546.0,3863.0,15268731.0,77.0,2024,47.364546
Sin Querer,Sin Querer - Single,Fer Vazquez,2023-12-14,"1,720",35.2,46660424.0,4000.0,10260168.0,67.0,2023,46.660424
Butta My Bread,Butta My Bread - Single (feat. Lasmid) - Single,JZyNo,2023-04-07,"1,729",35.1,46431158.0,23723.0,2774325.0,60.0,2023,46.431158
Bitch Let's Do It,Richest Opp,YoungBoy Never Broke Again,2023-05-12,"1,600",36.6,46368950.0,20691.0,2569902.0,60.0,2023,46.36895
Love On,Love On,Selena Gomez,2024-02-22,"1,148",44.3,45878045.0,3731.0,26039293.0,,2024,45.878045
Faster n Harder,Faster n Harder,6arelyhuman,2024-02-28,"1,639",36.1,45351290.0,6008.0,7286918.0,68.0,2024,45.35129
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,2024-05-23,427,74.5,45287928.0,2099.0,98932469.0,81.0,2024,45.287928
Come back to me,Come back to me,RM,2024-05-10,"1,400",39.6,44991905.0,1389.0,24249059.0,84.0,2024,44.991905
La Triple M,La Triple M,Mawell,2023-06-02,671,58.8,44557662.0,9405.0,3224288.0,59.0,2023,44.557662
Been Like This,Been Like This,Meghan Trainor,2024-03-14,"1,903",33.2,44441672.0,3110.0,21182930.0,24.0,2024,44.441672
Punterï¿½,Punterï¿½,Shakira,2024-03-21,697,57.9,44416140.0,3482.0,40692106.0,,2024,44.41614
Samba de Malandro,Samba de Malandro,MC Paulin da Capital,2024-03-14,"1,967",32.5,44365910.0,3206.0,27886603.0,75.0,2024,44.36591
